PlayerName,Team,Pos,Age,MP,Starts,Min,90s,Non_Penalty_Goals,npxG_Non_Penalty_xG,Shots_Total,Assists,xAG_Exp_Assisted_Goals,npxG_plus_xAG,Shot_Creating_Actions,Passes_Attempted,Pass_Completion_Percentage,Progressive_Passes,Progressive_Carries,Successful_Take_Ons,Touches_Att_Pen,Progressive_Passes_Rec,Tackles,Interceptions,Blocks,Clearances,Aerials_Won
Baptiste Santamaria,Rennes,MF,29.0,10.0,5.0,482.0,5.4,0.0,0.05,1.09,0.14,0.04,0.1,1.64,52.44,82.8,4.51,0.55,0.27,0.82,1.23,2.05,1.91,1.78,1.78,2.46
Becir Omeragic,Montpellier,CB,23.0,15.0,14.0,1198.0,13.3,0.0,0.02,0.45,0.0,0.01,0.03,0.45,42.75,89.6,3.08,1.2,0.75,0.45,0.23,1.35,0.68,1.5,3.53,0.98
Benjamin André,Lille,MF,34.0,17.0,17.0,1522.0,16.9,0.0,0.07,0.77,0.06,0.07,0.14,1.83,66.05,82.1,7.45,1.01,0.3,1.89,2.31,2.84,1.36,1.36,1.89,3.96
Benjamin Bouchouari,Saint-Étienne,MF,23.0,15.0,11.0,1001.0,11.1,0.09,0.03,0.54,0.0,0.05,0.08,2.79,51.43,86.5,5.66,1.71,1.53,0.54,2.43,1.98,1.17,0.9,0.63,0.36
Bradley Barcola,Paris S-G,AM,22.0,20.0,17.0,1316.0,14.6,0.75,0.67,3.49,0.27,0.42,1.08,3.62,36.31,82.5,3.15,6.16,1.71,8.96,14.7,1.09,0.62,1.23,0.41,0.68
Breel Embolo,Monaco,FW,27.0,17.0,10.0,967.0,10.7,0.37,0.77,2.98,0.37,0.34,1.12,1.95,18.8,70.8,2.23,0.93,0.74,6.52,7.54,0.56,0.09,0.37,0.28,1.95
Brendan Chardonnet,Brest,CB,30.0,18.0,18.0,1620.0,18.0,0.06,0.03,0.61,0.0,0.02,0.05,0.94,48.39,82.2,2.22,0.39,0.0,0.78,0.17,1.5,1.06,1.61,5.56,2.33
Caio Henrique Oliveira Silva,Monaco,FB,27.0,13.0,8.0,788.0,8.8,0.0,0.01,0.23,0.23,0.26,0.27,3.54,69.78,77.9,5.25,2.86,1.03,1.83,7.2,1.94,0.69,1.03,2.17,0.46
Carlens Arcus,Angers,FB,28.0,19.0,18.0,1454.0,16.2,0.0,0.0,0.19,0.06,0.07,0.07,1.55,44.01,78.5,2.72,1.67,0.37,0.5,3.22,2.17,1.42,0.99,3.53,1.49
Cédric Kipré,Reims,CB,28.0,17.0,15.0,1332.0,14.8,0.0,0.03,0.41,0.07,0.04,0.07,1.22,53.99,88.4,3.45,0.54,0.34,0.81,0.07,1.89,1.22,1.49,5.74,1.69
Charlie Cresswell,Toulouse,CB,22.0,18.0,16.0,1423.0,15.8,0.0,0.1,1.01,0.0,0.06,0.16,0.82,55.15,81.3,2.09,0.44,0.19,1.39,0.32,1.2,1.08,1.71,6.2,3.48
Christian Mawissa,Monaco,FB,19.0,10.0,7.0,587.0,6.5,0.0,0.02,0.15,0.0,0.0,0.02,0.46,49.68,79.3,2.45,1.07,1.07,0.61,1.23,3.68,2.3,1.69,1.23,1.99
Christopher Operi,Le Havre,FB,27.0,13.0,13.0,1169.0,13.0,0.0,0.02,0.54,0.15,0.17,0.19,2.77,57.51,71.4,4.0,2.16,1.08,0.92,5.0,1.0,1.08,1.54,2.31,0.85
Christopher Wooh,Rennes,CB,23.0,16.0,14.0,1235.0,13.7,0.0,0.09,0.73,0.0,0.0,0.09,0.87,53.27,86.6,3.64,0.95,0.36,0.95,0.15,2.33,1.6,1.46,3.94,2.77
Clément Akpa,Auxerre,CB,23.0,19.0,17.0,1501.0,16.7,0.0,0.01,0.24,0.0,0.02,0.03,1.02,43.89,80.2,3.24,1.2,0.24,0.3,1.38,2.04,1.44,1.68,4.56,1.38
Clinton Mata,Lyon,CB,32.0,17.0,16.0,1447.0,16.1,0.0,0.01,0.25,0.19,0.07,0.09,1.24,58.15,85.2,3.42,0.93,0.68,0.81,1.43,1.55,1.8,0.93,2.55,0.87
Corentin Tolisso,Lyon,MF,30.0,19.0,15.0,1340.0,14.9,0.13,0.21,2.28,0.07,0.22,0.43,3.83,53.6,83.3,6.65,0.67,0.27,4.23,4.84,2.35,0.74,1.81,1.75,2.49
Cristian Cásseres Jr.,Toulouse,MF,25.0,19.0,18.0,1553.0,17.3,0.06,0.03,0.58,0.06,0.08,0.11,2.43,46.54,77.0,4.23,0.87,0.46,0.58,1.28,3.71,1.45,1.28,1.62,0.81
Daler Kuzyaev,Le Havre,MF,32.0,12.0,6.0,567.0,6.3,0.16,0.03,0.63,0.0,0.1,0.13,0.63,41.27,81.2,5.08,0.63,0.32,0.63,1.43,2.06,1.43,1.11,1.27,1.11
Dante,Nice,CB,41.0,14.0,12.0,1104.0,12.3,0.0,0.02,0.33,0.0,0.0,0.02,0.65,66.68,87.3,4.57,0.9,0.24,0.98,0.49,1.96,1.71,0.9,3.34,1.88
Deiver Machado,Lens,FB,31.0,16.0,9.0,932.0,10.4,0.1,0.17,1.35,0.0,0.08,0.25,2.9,45.48,81.5,2.22,2.51,1.06,1.74,3.96,2.22,0.77,0.97,1.35,1.26
Denis Zakaria,Monaco,MF,28.0,13.0,12.0,1072.0,11.9,0.17,0.21,1.01,0.17,0.03,0.24,1.76,51.13,89.5,3.27,0.76,1.01,1.01,1.18,1.76,1.43,1.01,2.01,0.5
Dennis Appiah,Saint-Étienne,FB,32.0,19.0,15.0,1469.0,16.3,0.0,0.01,0.12,0.06,0.12,0.12,1.53,48.4,74.7,3.68,2.02,0.98,0.92,4.23,2.88,1.1,1.29,3.74,0.98
Derek Cornelius,Marseille,CB,27.0,13.0,10.0,857.0,9.5,0.0,0.07,0.53,0.0,0.01,0.08,0.53,86.32,93.7,4.31,0.53,0.0,0.84,0.63,1.58,0.95,0.95,3.26,1.89
Désiré Doué,Paris S-G,AM,19.0,17.0,7.0,826.0,9.2,0.11,0.23,3.38,0.33,0.4,0.63,5.12,52.08,81.6,6.1,5.56,2.62,7.08,11.77,1.31,0.76,0.98,0.65,0.44
Diego Moreira,Strasbourg,FB,20.0,19.0,17.0,1541.0,17.1,0.06,0.08,0.88,0.23,0.24,0.32,2.04,44.68,75.3,2.8,2.69,1.58,2.28,7.24,1.34,1.11,0.82,2.45,1.17
Dilane Bakwa,Strasbourg,MF,22.0,18.0,18.0,1553.0,17.3,0.12,0.16,1.97,0.29,0.23,0.39,3.77,36.8,72.8,4.11,3.65,1.33,2.49,8.4,1.04,0.52,0.75,1.16,0.41
