PlayerName,Pos,Non_Penalty_Goals,npxG_Non_Penalty_xG,Shots_Total,Assists,xAG_Exp_Assisted_Goals,npxG_plus_xAG,Shot_Creating_Actions,Passes_Attempted,Pass_Completion_Percentage,Progressive_Passes,Progressive_Carries,Successful_Take_Ons,Touches_Att_Pen,Progressive_Passes_Rec,Tackles,Interceptions,Blocks,Clearances,Aerials_Won
Abdel Abqar,CB,0.0,0.03,0.32,0.05,0.01,0.04,0.97,35.02,74.3,3.18,0.59,0.05,0.65,0.16,1.46,1.78,0.97,5.29,1.24
Nahuel Tenaglia,FB,0.05,0.03,0.6,0.05,0.04,0.07,1.36,37.72,70.2,2.45,1.36,0.44,1.36,3.0,2.94,1.36,0.82,3.71,1.31
Antonio Blanco,MF,0.0,0.04,0.89,0.06,0.08,0.11,1.58,38.73,77.9,4.63,0.13,0.63,0.25,0.32,2.35,1.65,1.08,1.46,0.82
Jon Guridi,AM,0.07,0.05,0.73,0.0,0.04,0.09,2.05,32.87,78.1,3.7,1.19,0.33,1.98,3.57,1.52,0.66,1.06,0.53,1.52
Manu Sánchez,FB,0.0,0.01,0.3,0.0,0.02,0.03,1.16,38.25,70.7,2.8,1.76,0.3,0.61,2.92,2.49,1.09,1.7,2.07,0.3
Kiké,FW,0.46,0.24,1.98,0.0,0.05,0.29,1.52,20.09,66.4,1.98,0.79,0.53,3.83,4.49,0.53,0.0,0.13,0.79,4.36
Moussa Diarra,CB,0.0,0.0,0.07,0.0,0.01,0.01,0.55,38.87,80.7,3.53,0.55,0.28,0.49,0.97,1.8,1.11,0.55,1.73,1.59
Ander Guevara,MF,0.0,0.03,0.49,0.07,0.03,0.06,1.66,45.45,77.3,5.06,0.69,0.49,0.55,0.76,2.49,0.49,1.18,1.8,1.32
Carlos Martín,AM,0.23,0.21,1.74,0.12,0.08,0.29,1.51,25.9,65.5,1.63,0.93,0.58,2.55,4.18,2.9,0.46,1.74,1.16,0.58
Tomás Conechny,AM,0.13,0.3,2.44,0.0,0.03,0.32,1.28,34.92,62.5,1.8,1.54,0.39,3.72,6.8,1.28,0.64,1.67,0.9,2.31
Santiago Mouriño,CB,0.0,0.02,0.37,0.0,0.05,0.07,0.62,34.06,81.0,2.61,1.24,0.25,0.37,0.0,2.11,1.37,0.87,4.6,1.24
Stoichkov,AM,0.0,0.14,2.32,0.13,0.15,0.3,3.61,27.55,61.7,3.35,1.16,0.77,3.61,5.28,1.8,0.13,0.26,0.9,0.64
Joan Jordán,MF,0.14,0.2,1.12,0.28,0.07,0.27,3.08,55.79,68.6,7.15,0.56,0.42,0.84,2.52,2.38,0.56,1.12,1.26,0.7
Toni Martínez,FW,0.48,0.27,4.49,0.0,0.08,0.35,3.05,20.7,55.8,1.12,0.96,0.8,6.9,4.81,0.8,0.0,1.12,1.28,7.22
Pica,CB,0.0,0.06,0.75,0.0,0.0,0.07,0.37,36.89,76.8,2.8,0.56,0.19,0.93,0.0,1.68,1.49,1.3,4.1,3.17
Luis Rioja,MF,0.15,0.07,0.71,0.05,0.13,0.2,2.24,37.24,65.6,2.5,2.91,1.43,1.99,6.43,1.17,0.97,1.12,1.48,0.46
Cristhian Mosquera,CB,0.0,0.01,0.14,0.0,0.0,0.01,0.19,52.69,91.1,2.92,0.91,0.24,0.14,0.14,1.1,1.1,1.05,2.97,1.2
Diego López,MF,0.17,0.16,1.22,0.17,0.17,0.33,2.21,31.36,69.5,2.6,2.71,0.83,3.15,7.3,1.0,0.39,0.94,0.39,0.5
César Tárrega,CB,0.11,0.08,0.64,0.0,0.0,0.09,0.27,45.86,79.3,2.85,0.91,0.27,1.18,0.0,1.4,0.7,1.07,5.75,2.36
Hugo Duro,FW,0.41,0.34,1.81,0.12,0.07,0.41,1.29,17.43,69.8,1.17,0.64,0.35,3.51,2.81,0.64,0.53,0.53,0.47,2.81
Javier Guerra,MF,0.07,0.07,1.41,0.13,0.13,0.2,2.01,40.35,74.3,4.28,1.54,1.0,1.54,2.68,2.14,0.6,0.54,1.54,0.74
Dimitri Foulquier,FB,0.0,0.03,0.67,0.0,0.02,0.04,1.34,47.08,74.1,3.22,1.68,0.34,1.01,2.95,2.08,0.54,0.94,3.15,0.54
José Luis García Vayá,MF,0.0,0.02,0.67,0.15,0.12,0.14,3.05,64.71,77.0,7.51,0.45,0.37,0.67,1.04,2.08,0.74,1.26,1.49,1.41
Enzo Barrenechea,MF,0.08,0.06,0.42,0.08,0.03,0.09,1.68,49.86,84.7,3.6,0.75,0.34,0.84,0.67,2.18,0.92,1.51,2.26,1.68
Domingos André Ribeiro Almeida,FW,0.0,0.03,0.92,0.0,0.08,0.12,3.1,40.81,84.8,6.28,1.93,0.84,2.26,3.44,2.18,0.42,1.09,0.5,0.25
Yarek Gasiorowski,CB,0.0,0.11,0.3,0.0,0.01,0.12,0.69,46.44,80.3,3.67,0.89,0.0,0.6,0.0,1.89,2.48,1.69,5.06,2.38
Thierry Correia,FB,0.0,0.04,0.82,0.0,0.04,0.07,1.88,51.68,74.8,5.16,1.88,0.94,1.41,5.63,3.16,0.47,1.17,2.11,0.47
Jesus Vazquez,FB,0.0,0.01,0.39,0.0,0.03,0.04,0.66,46.32,75.9,2.24,3.29,1.32,0.92,5.0,2.11,0.66,1.84,2.89,1.05
José Luis Gayà,FB,0.0,0.01,0.14,0.14,0.16,0.17,1.71,50.29,73.0,3.29,2.0,0.29,0.57,7.43,2.71,1.57,0.86,2.57,0.43
Dani Gómez,FW,0.34,0.46,2.37,0.0,0.0,0.46,1.02,14.04,74.7,1.02,0.51,0.51,3.72,4.06,0.51,0.34,0.17,0.68,1.18
Lucas Oliveira Rosa,FB,0.0,0.04,0.38,0.05,0.1,0.13,1.48,39.67,76.5,2.38,1.48,0.67,1.0,3.52,2.52,1.33,1.14,3.29,0.86
Luis Pérez,FB,0.0,0.0,0.15,0.0,0.08,0.08,1.9,41.98,75.6,2.92,1.31,0.19,0.34,4.18,1.61,1.12,1.07,2.97,0.54
Javi Sánchez,CB,0.07,0.01,0.34,0.0,0.01,0.03,0.61,49.59,86.2,1.15,0.2,0.07,0.54,0.27,1.15,0.81,1.82,4.86,1.76
Raúl Moro,AM,0.21,0.12,1.65,0.07,0.22,0.35,3.93,28.39,65.8,3.45,4.41,2.48,3.65,7.65,0.96,0.62,0.41,0.55,0.34
Kike Pérez,MF,0.15,0.16,1.51,0.0,0.08,0.23,2.72,42.62,78.0,5.06,1.44,0.6,1.36,2.12,2.8,0.53,1.21,1.36,0.91
Stanko Jurić,MF,0.0,0.05,0.35,0.0,0.02,0.07,0.28,39.56,85.3,3.09,0.21,0.35,0.56,0.35,2.74,1.05,1.69,3.23,2.74
Eray Cömert,CB,0.0,0.04,0.67,0.0,0.0,0.04,0.67,42.78,84.9,2.26,0.5,0.25,0.5,0.34,1.26,1.01,1.59,2.94,1.26
Mario Martín,MF,0.0,0.03,1.06,0.08,0.07,0.11,1.55,40.14,86.4,3.11,0.82,0.9,0.9,0.65,2.78,1.06,1.55,2.53,1.63
Selim Amallah,MF,0.2,0.19,1.57,0.1,0.05,0.24,2.06,26.34,75.8,3.13,1.96,2.35,1.47,1.47,1.66,0.69,1.66,0.29,0.29
Anuar,AM,0.19,0.1,0.56,0.0,0.04,0.14,1.22,22.59,79.2,1.32,1.04,0.28,1.22,2.45,1.41,1.13,1.41,0.94,1.41
Mamadou Sylla,FW,0.0,0.16,1.28,0.1,0.14,0.3,1.28,14.32,63.4,0.99,1.09,0.4,2.07,3.16,0.2,0.1,0.3,0.99,2.37
David Torres,CB,0.0,0.01,0.18,0.0,0.0,0.01,0.09,44.69,83.5,2.51,0.72,0.0,0.36,0.18,0.72,0.63,1.26,4.49,1.35
Marcos André,FW,0.1,0.21,1.45,0.1,0.06,0.26,1.25,16.71,64.6,0.93,1.04,1.45,2.49,3.11,0.52,0.31,1.14,0.52,4.05
Juma Bah,CB,0.0,0.03,0.31,0.0,0.0,0.03,0.21,42.4,81.1,1.35,0.0,0.31,0.83,0.1,1.04,1.25,1.56,6.25,3.23
Iván Sánchez,MF,0.11,0.03,0.66,0.11,0.15,0.19,2.97,34.18,69.1,4.29,3.19,1.76,1.21,5.38,2.31,0.88,1.1,0.66,0.88
Juanmi Latasa,FW,0.0,0.18,2.1,0.0,0.03,0.21,1.62,17.32,56.1,1.46,0.16,0.65,4.05,3.08,0.16,0.0,0.32,0.97,6.8
