PlayerName,Pos,Non_Penalty_Goals,npxG_Non_Penalty_xG,Shots_Total,Assists,xAG_Exp_Assisted_Goals,npxG_plus_xAG,Shot_Creating_Actions,Passes_Attempted,Pass_Completion_Percentage,Progressive_Passes,Progressive_Carries,Successful_Take_Ons,Touches_Att_Pen,Progressive_Passes_Rec,Tackles,Interceptions,Blocks,Clearances,Aerials_Won
Nicolás Tagliafico,FB,0.18,0.14,1.49,0.09,0.04,0.18,1.14,65.53,85.9,5.18,1.4,0.09,2.11,2.54,3.07,2.19,1.32,2.54,1.84
Nikola Maksimović,CB,0.0,0.0,0.15,0.0,0.0,0.02,1.24,48.02,92.9,1.7,0.15,0.31,0.62,0.0,1.39,0.93,0.77,4.65,1.24
Nuno Mendes,FB,0.0,0.08,0.82,0.09,0.2,0.28,3.81,82.11,86.6,7.44,3.45,1.63,2.18,6.26,1.72,1.09,1.27,2.09,0.91
Osame Sahraoui,AM,0.27,0.24,1.91,0.27,0.28,0.52,4.83,41.9,85.0,6.19,5.01,2.28,5.37,11.3,0.82,0.55,1.0,0.46,0.0
Oumar Diakité,FW,0.28,0.3,1.52,0.07,0.07,0.37,2.42,20.22,82.9,2.62,1.31,1.24,3.31,4.9,1.04,0.14,0.76,0.48,1.52
Ousmane Dembélé,AM,1.05,0.65,4.69,0.32,0.48,1.14,5.98,58.98,79.0,7.19,7.03,2.34,8.48,13.09,0.57,0.57,0.16,0.0,0.32
Oussama Targhalline,MF,0.0,0.01,0.45,0.0,0.06,0.08,1.82,39.73,79.6,6.0,2.27,0.45,1.0,3.09,1.73,1.73,1.27,1.27,0.73
Pablo Rosario,MF,0.0,0.11,0.61,0.08,0.02,0.14,1.75,39.7,85.8,4.12,0.76,0.46,1.07,0.91,1.14,1.68,0.91,2.36,1.22
Paul Joly,FB,0.0,0.05,0.99,0.12,0.14,0.19,2.73,55.66,68.4,4.46,2.48,0.62,1.36,5.83,4.21,2.48,1.61,3.1,1.24
Pedro Chirivella,MF,0.0,0.01,0.18,0.12,0.07,0.08,2.08,57.6,83.1,6.08,0.36,0.12,0.12,0.89,1.61,0.6,0.66,2.14,0.42
Pierre Ekwah Elimby,MF,0.0,0.01,0.38,0.0,0.04,0.06,1.28,52.53,88.0,4.68,0.58,0.64,0.0,0.38,1.86,1.47,0.96,3.14,0.77
Pierre Højbjerg,MF,0.11,0.08,1.16,0.05,0.1,0.18,3.27,93.96,92.2,8.08,1.21,0.21,1.74,1.32,2.22,1.58,1.21,1.32,0.84
Przemysław Frankowski,FB,0.13,0.05,0.91,0.13,0.16,0.21,2.98,70.86,80.1,7.59,2.14,0.39,2.47,6.16,2.08,1.23,0.65,1.82,0.52
Quentin Merlin,FB,0.1,0.08,1.31,0.3,0.18,0.25,3.42,68.3,83.5,5.12,1.81,0.3,2.61,9.24,1.0,1.0,0.9,1.31,0.5
Rabby Nzingoula,MF,0.09,0.06,0.99,0.0,0.14,0.2,1.53,29.07,74.3,2.43,1.26,1.17,1.26,2.43,3.33,1.89,1.17,1.53,1.08
Rasmus Nicolaisen,CB,0.0,0.06,0.72,0.14,0.03,0.1,1.3,55.62,88.1,3.9,0.43,0.14,1.16,0.29,0.87,1.44,1.44,3.61,3.03
Rassoul Ndiaye,MF,0.1,0.15,1.29,0.0,0.05,0.2,1.49,37.62,73.4,3.66,0.4,0.1,1.58,2.28,2.38,0.89,1.19,1.68,0.99
Rayan Cherki,AM,0.28,0.21,2.21,0.37,0.49,0.7,7.19,57.45,77.5,9.87,3.69,2.95,5.9,8.11,0.65,0.37,0.46,0.37,0.28
Rayan Raveloson,MF,0.12,0.1,1.99,0.0,0.02,0.12,2.11,38.91,86.6,3.85,0.62,0.87,1.37,1.49,0.75,0.62,0.99,2.73,0.99
Rémy Cabella,AM,0.0,0.31,2.73,0.24,0.23,0.54,5.23,63.73,81.3,5.83,4.04,1.43,4.87,11.77,3.69,0.95,0.95,0.36,0.12
Rémy Labeau Lascary,FW,0.28,0.35,1.98,0.14,0.16,0.51,2.83,24.58,73.0,0.99,2.4,1.7,4.38,10.03,2.26,0.14,0.71,0.99,0.85
Romain Del Castillo,AM,0.18,0.12,1.23,0.26,0.23,0.35,4.92,48.87,69.2,4.22,2.11,1.41,3.16,8.17,2.2,0.53,1.32,0.26,0.7
Romain Faivre,AM,0.13,0.15,1.6,0.27,0.12,0.27,2.93,35.07,83.7,4.0,2.27,1.6,2.93,3.6,1.47,0.4,0.67,0.4,0.93
Saïd Benrahma,AM,0.12,0.24,2.08,0.37,0.26,0.49,3.31,43.84,72.1,3.92,5.02,0.98,4.16,13.35,1.1,0.37,0.73,0.24,0.0
Saidou Sow,CB,0.0,0.02,0.3,0.08,0.02,0.04,0.68,55.37,90.0,1.5,0.08,0.08,0.6,0.15,0.9,1.43,1.35,3.61,1.35
